,pass_count,prev_ball_zone,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,tA_ball_poss,tB_ball_poss,danger_zone,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
10,10,5.0,8.0,0.098989898989899,0.0787878787878788,1.9028412402837558,2.140076856023767,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0.8863636363636364,0.11363636363636363,1,0.0,6.826035729556059,0.0,0.0,48.43680196710105,14.489877458251657,0.0,67.46656388798141,16.194528487379216,15.510070790721446,0.0,0.0,0.0,0.0,0.0,0.0,12.201950525067174,8.46744491784464,0.0,56.436946682628886,0.0,7.2553182732273696,1.4251242586231512,0.0
11,10,2.0,8.0,0.15757575757575756,0.06262626262626263,1.6417882844806035,1.8523027910823193,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0.8900709219858156,0.1099290780141844,0,0.0,41.25750017250992,0.0,0.0,16.19114352653459,15.026541200725667,14.916856517069425,34.56284808507948,33.80507564475045,16.150002273433746,0.0,0.0,0.0,12.32849435726016,0.0,0.0,10.890965248155268,8.74804323091741,7.282549263136927,38.893048362710665,0.0,7.830883154871152,1.579396768400806,0.0
12,10,5.0,8.0,0.08484848484848485,0.08888888888888886,1.3342049828190534,1.6317014862636137,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0.8981603153745072,0.10183968462549277,0,0.0,6.789939079076487,0.0,0.0,51.56936096693998,14.855544616311455,14.301211060474088,33.63568754048505,33.954156554999216,16.81136613614433,0.0,0.0,0.0,11.757813810840666,0.0,0.0,10.693915794578588,8.82765785779951,7.211416451139126,29.96002119953067,8.214126929081896,8.3366871384007,1.8435508025672478,0.0
13,11,10.0,8.0,0.09090909090909091,0.07676767676767676,1.4982494595520444,1.1051137913311224,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0.9018987341772152,0.0981012658227848,0,0.0,6.952992141853811,0.0,0.0,51.41809820309068,14.676363920281991,14.329206462373303,48.80359133453134,18.3310313385723,17.48177447909555,0.0,0.0,0.0,11.342464058155008,0.0,0.0,10.586162468749357,9.001699040154168,7.067042078490827,20.82299395984274,17.186572974951787,8.758343934143783,1.8911367433355395,0.0
14,11,7.0,8.0,0.05656565656565657,0.07676767676767678,1.909185427586098,1.6735290428598413,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0.9063444108761329,0.09365558912386707,0,0.0,6.791026642581973,0.0,0.0,31.80986809587886,14.571348447030843,48.876610689796095,30.680417218359025,18.110158006842013,19.525837531605397,0.0,0.0,0.0,0.0,0.0,0.0,21.33994789760235,9.019084351197137,16.486841603852586,20.8227945330906,16.879047723609112,0.0,1.9150984186759439,0.0
15,13,10.0,8.0,0.09292929292929292,0.09898989898989898,2.031366524094347,1.911079957362971,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.9108683151236343,0.08913168487636573,0,0.0,6.610524085845546,0.0,0.0,31.29154459752148,14.38705133502627,31.3642986766004,30.042134159244725,17.599774191782792,37.0695479451119,0.0,0.0,0.0,0.0,0.0,0.0,21.02955181952014,0.0,23.722984653365515,22.017082159029442,16.613086451159536,0.0,1.8747330721830735,0.0
16,13,7.0,8.0,0.09292929292929292,0.09292929292929292,2.031366524094347,1.985384620160061,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.9117312072892938,0.08826879271070615,0,0.0,6.623282401071616,0.0,0.0,31.31986489252366,14.342462602674516,31.340003697749133,29.998774078855895,17.540123374598764,36.96416538830964,0.0,0.0,0.0,0.0,0.0,0.0,20.989637308937212,0.0,23.653271860842825,21.971725881890258,16.536257439318767,0.0,1.878595300516672,0.0
17,16,8.0,8.0,0.07676767676767678,0.08282828282828283,2.152575717407904,2.034202309022108,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0.8846971307120085,0.1153028692879915,0,0.0,6.418521811390623,0.0,0.0,15.969044715009739,13.87738312633792,15.658347156562868,82.12001226870879,17.545927818037256,19.502611688391287,0.0,0.0,0.0,0.0,0.0,0.0,10.848080712809994,0.0,16.292030824220266,40.846066519422976,16.494545447346734,0.0,1.9672075765301267,0.0
18,16,9.0,8.0,0.09494949494949495,0.07676767676767676,1.9669464037508975,2.1636307629721383,1,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0.8316683316683317,0.16833166833166832,0,0.0,6.486488004938044,0.0,0.0,36.17055662285155,0.0,0.0,64.6921902574993,49.544312030299274,16.51780771215057,0.0,0.0,0.0,0.0,0.0,0.0,10.717336831652858,0.0,8.492226325251208,31.897011642706097,34.48177393287519,0.0,2.1327685135239323,0.0
19,13,6.0,6.0,0.06464646464646465,0.08282828282828283,1.8321622514192477,1.5811201877126424,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.779690949227373,0.22030905077262694,0,0.0,26.601135245950154,17.152985069212562,0.0,34.13120376733292,74.37490095603509,0.0,30.101389689314708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.938741902512465,39.43958796022485,0.0,23.606155157255163,8.11664506306997,9.002757080084523,2.269255736937814,0.0
