,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,danger_zone,pass_count_A,pass_count_B,tA_ball_poss,tB_ball_poss,AZ-1,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ-1,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
0,5,0.06666666666666667,0.07272727272727274,2.2211370581824115,2.1881171229338046,0,1,0,0,2,2,1,1,2,1,1,0,0,1,0,0,7,2,0,0,0,1,0,0,0.0,0,3,0.0,1.0,0.0,0.0,1.0427809807228918,0.0,0.0,4.514853224096385,2.7413815879518086,1.1969855349397598,1.4214307228915681,1.8563957999999996,1.442373007228916,0.016800968674698845,0.0,0.0,0.0,0.21256811566265088,0.0,0.0,2.4428294602409633,1.683485595180724,0.0,0.0,0.0,2.1436666554216877,0.0,0.0
1,5,0.08484848484848485,0.0909090909090909,2.045715772275823,1.9576099435998415,0,0,0,0,0,0,0,1,3,0,3,4,0,1,0,0,1,1,0,1,4,0,2,1,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.654585274698795,2.7772826096385543,0.0,1.1801728120481916,3.7333345662650625,0.0,0.0,0.02619996144578304,0.0,0.0,0.258057621686747,0.2658522867469875,0.0,0.7814830192771087,3.3427107975903616,0.0,0.8906938192771083,0.10792538313253014
2,12,0.0606060606060606,0.050505050505050504,1.4228055809836646,1.5342462231328469,0,2,0,0,4,1,0,1,0,2,1,0,0,1,0,0,1,1,0,1,2,0,2,3,0.0,0,1,0.5938281901584654,0.4061718098415346,0.0,0.0,1.4511723253012065,0.0,0.0,4.581342448192772,0.5670091156626504,0.0,0.2953685638554221,0.0,3.3444746819277125,0.09840090361445787,0.0,0.0,0.0,0.14881161686746974,0.0,0.0,0.6164078530120487,0.31191219036144624,0.0,0.6623851445783122,2.2761757734939763,0.0,1.9876618771084336,2.3574049228915657
3,9,0.08282828282828282,0.0909090909090909,2.1235226725911995,2.0313200564774725,0,0,0,0,2,2,0,2,4,0,1,0,0,1,0,0,1,2,0,4,2,1,0,0,0.0,0,0,0.45896656534954405,0.541033434650456,0.0,0.0,0.0,0.0,0.0,2.9088039036144595,1.7384178361445775,0.0,1.1670876072289147,7.096765937349395,0.0,0.30268434939759004,0.0,0.0,0.0,0.2109699469879517,0.0,0.0,1.6035885831325274,1.0387404289156632,0.0,2.9485683614457843,0.8505132867469885,1.2560395445783137,0.0,0.0
4,9,0.098989898989899,0.08282828282828282,1.9652878064213661,2.1235226725911995,1,2,0,0,3,1,0,2,0,1,1,0,0,1,0,0,2,2,0,2,4,0,0,0,0.0,0,0,0.5413819286256644,0.45861807137433563,0.0,1.4199550048192782,2.3755676891566266,0.0,0.0,4.310246479518073,0.2861384891566265,0.0,0.7651901999999998,0.0,1.0232312313253016,0.08960251084337346,0.0,0.0,0.0,0.2788558843373492,0.0,0.0,2.461336373493975,2.65728015180723,0.0,4.560117975903614,5.728666980722888,0.0,0.0,0.0
5,2,0.060606060606060615,0.05454545454545454,1.4989828755610992,1.503499087419569,0,3,3,0,1,2,0,0,0,1,1,0,3,3,0,0,4,0,0,1,0,0,0,0,0.0,0,0,0.7434328895286074,0.2565671104713926,0.0,0.0,2.609367946987951,4.628681530120483,0.0,0.22505938554216892,0.49111244096385553,0.0,0.0,0.0,1.2233142867469884,0.0067223710843372165,0.0,0.0,1.568476467469879,1.2658392072289166,0.0,0.0,5.664013951807228,0.0,0.0,1.437821371084337,0.0,0.0,0.0,0.0
6,6,0.0787878787878788,0.10303030303030303,2.123561520957956,1.9060920115892948,0,0,0,0,0,1,2,5,2,0,1,0,0,1,0,0,2,1,1,3,1,0,2,0,0.0,1,2,0.4257921067259589,0.5742078932740411,0.0,0.0,0.0,0.0,0.0,0.0,0.3774174506024095,2.6880100771084345,3.720988308433739,0.698717255421686,0.0,0.21433977108433733,0.0,0.0,0.0,0.16767676626506045,0.0,0.0,1.7353554578313244,2.34878001686747,0.12919595421686725,2.4559179686747,0.28742322650602425,0.0,0.660871973493975,0.0
7,9,0.09494949494949494,0.09292929292929294,1.9648537166796907,1.9876301655635786,0,0,0,0,3,1,2,1,1,2,1,0,0,1,0,0,1,1,1,5,1,1,0,0,1.0,1,0,0.610178117048346,0.389821882951654,0.0,0.0,0.0,0.0,0.0,1.3096214385542169,0.3231850771084342,1.7870794120481945,0.7041165469879511,0.3078481662650603,0.8775129469879517,0.3336596240963854,0.0,0.0,0.0,0.22181137590361463,0.0,0.0,0.19976032048192768,1.2128068915662646,0.3142520240963857,3.231026573493976,1.5116923084337355,0.40195676385542095,0.0,0.0
8,8,0.08484848484848485,0.0787878787878788,2.0207374716320774,2.15674322903743,1,0,1,0,3,1,0,1,0,3,1,0,0,1,0,0,4,2,0,1,0,3,0,0,0.0,0,1,0.39763878422506904,0.602361215774931,0.0,0.2409813469879517,0.0,1.000338028915663,0.0,5.943221609638553,0.49314756144578287,0.0,0.3408404674698794,0.0,3.143009913253011,0.1165879156626507,0.0,0.0,0.0,0.33472274457831347,0.0,0.0,2.308018380722892,1.6950972433734952,0.0,0.07728295662650614,0.0,1.2286550024096383,0.0,0.0
9,1,0.07474747474747476,0.10101010101010101,2.1222153885109103,1.8889249791638507,0,2,2,0,2,2,0,1,1,0,1,0,0,2,4,0,1,3,0,0,0,1,0,0,0.0,3,1,0.6382541133455211,0.36174588665447893,0.0,0.0,0.9736506939759033,1.7675990674698798,0.0,0.363908739759036,2.011779679518073,0.0,0.11169813253012044,0.2814997518072289,0.0,0.13275652048192793,0.0,0.0,0.0,1.0256955469879516,0.9283771012048192,0.0,0.23925117831325302,1.4629999518072283,0.0,0.0,0.0,0.32905430602409663,0.0,0.0
