,pass_count,prev_ball_zone,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,tA_ball_poss,tB_ball_poss,danger_zone,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
10,9,9.0,7.0,0.11515151515151517,0.0787878787878788,1.7874145153405292,2.126689860190517,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0.8331043956043956,0.16689560439560439,0,0.0,0.0,0.0,0.0,65.45979137338783,45.164792522289325,17.416428998743616,16.520537275763125,17.015407425676727,18.226259572417266,6.937396874555715,0.0,0.0,3.743882934881806,0.0,0.0,56.48808987793836,17.617465671977232,0.0,0.0,12.584495095372418,8.074641582042302,0.0,0.0
11,11,8.0,7.0,0.09696969696969697,0.09494949494949498,1.9356077039130604,1.9758023626347916,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0.8522796352583587,0.14772036474164132,0,0.0,0.0,0.0,0.0,82.04037277604299,24.056846677576278,16.78943942657644,16.629670127913784,17.085981721881826,17.523060452327066,6.313403151144239,0.0,0.0,3.585700727144374,0.0,0.0,57.80975919190949,7.960211296249266,0.0,10.429405058680649,0.0,17.009676836868234,0.0,0.0
12,11,9.0,7.0,0.09696969696969697,0.08686868686868686,1.9633123901072842,2.0423343662943183,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0.8606651376146789,0.1393348623853211,0,0.0,0.0,0.0,0.0,81.8262254504721,24.037028163644024,16.700633236363227,16.380973704384402,17.52427461500367,17.448100283092472,6.221000271415672,0.0,0.0,3.540624558588839,0.0,0.0,55.23356926596992,29.36062254726345,0.0,0.0,0.0,8.269306206255736,0.0,0.0
13,13,6.0,7.0,0.10707070707070708,0.056565656565656576,1.4712577061447143,1.8215948995091034,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.8720379146919431,0.12796208530805686,0,0.0,42.69007298038848,21.393025116821967,0.0,36.3768781247591,26.32584712756205,0.0,15.813307188915013,17.14656974204937,16.18733698688224,5.788501199064562,0.0,0.0,20.65723076744116,17.6566952063119,0.0,17.75740546674411,41.88384713406427,0.0,0.0,0.0,0.0,0.0,0.0
14,14,5.0,7.0,0.10909090909090909,0.08686868686868687,1.8765050360376063,2.074834116486489,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.8794044665012407,0.1205955334987593,0,0.0,42.99429453642168,35.402437936922276,0.0,32.34543525615936,0.0,0.0,15.585261515372551,16.951128610936788,35.35454069275912,5.574768735441769,0.0,0.0,29.068192203980775,9.641890669828355,0.0,31.980244073682726,20.301347944844004,0.0,0.0,0.0,8.549082250253242,0.0,0.0
15,14,10.0,10.0,0.07474747474747474,0.07272727272727274,2.160177503385732,2.188511098164696,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0.8813886210221794,0.11861137897782063,0,18.97713534018591,22.201637110587438,13.678976377985272,0.0,43.521127526917724,13.918622534120951,0.0,15.470528362282202,16.672262247178896,35.073663676959875,5.5935084010363685,0.0,0.0,30.173179442247502,9.03229692266868,0.0,51.72283700255937,0.0,0.0,0.0,0.0,8.583079999380708,0.0,0.0
16,15,5.0,10.0,0.0707070707070707,0.08080808080808081,2.20103358505874,2.0988569686115537,1,1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0.8638941398865785,0.13610586011342155,0,18.96646650141861,22.524885759116348,13.63937534143346,0.0,62.08240212426497,14.25462606578664,0.0,15.265086014548675,16.429478858306542,16.837111090448644,5.537126557552761,0.0,0.0,30.25315551251028,8.912149416991205,0.0,51.71274797281129,0.0,0.0,0.0,0.0,8.517116601864235,0.0,0.0
17,15,2.0,10.0,0.08484848484848485,0.08484848484848485,2.0691107506668582,2.0750192504398033,1,1,1,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0.8,0.2,0,19.116146247564302,48.10442617142989,13.758566161933333,0.0,35.74533448776752,14.89660517647261,0.0,14.768687435566772,15.920445860964566,16.5574198833055,5.412408882356157,0.0,0.0,40.15391189587584,0.0,0.0,31.222211631091092,9.153786494373243,0.0,0.0,10.653244833089229,8.365870239268935,0.0,0.0
18,12,3.0,3.0,0.08888888888888889,0.09696969696969694,2.0186119373148133,1.8657184084023752,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0.7418837675350701,0.2581162324649299,0,0.0,24.19732235284603,0.0,0.0,35.828503391019105,37.570106879307225,0.0,50.43602549864109,30.946234258191094,0.0,5.491468885129734,0.0,0.0,0.0,3.7616882869067707,0.0,36.16750707891862,28.650629316010438,0.0,9.743833403461803,21.168015677485936,0.0,0.0,0.0
19,11,6.0,3.0,0.09090909090909091,0.09292929292929292,2.0246473959039597,1.8996754511140788,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.745956607495069,0.25404339250493096,0,0.0,0.0,0.0,0.0,59.92394843931889,37.668057277119566,0.0,32.137131901705274,49.59807081781493,0.0,5.46443787827131,0.0,0.0,0.0,3.8925181395706954,0.0,36.14131870149687,28.5890848871564,0.0,0.0,30.776314860259124,0.0,0.0,0.0
